,0,1
205,domestic,8
206,risk,8
207,appeared,8
208,spreads,8
209,less,8
210,issuance,8
211,changed,8
212,term,8
213,investment,8
214,indicators,8
215,energy,8
216,may,8
217,agreed,8
218,view,8
219,objective,8
220,errors,8
221,held,7
222,w,7
223,j,7
224,presidents,7
225,david,7
226,assistant,7
227,office,7
228,close,7
229,associated,7
230,number,7
231,distribution,7
232,slowing,7
233,options,7
234,holdings,7
235,agency,7
236,mbs,7
237,demand,7
238,curve,7
239,point,7
240,suggested,7
241,expressed,7
242,reflecting,7
243,part,7
244,sentiment,7
245,based,7
246,readings,7
247,compensation,7
248,downward,7
249,two,7
250,longerterm,7
251,employment,7
252,net,7
253,modestly,7
254,capital,7
255,bit,7
256,historical,7
257,revised,7
258,incoming,7
259,viewed,7
260,similar,7
261,overall,7
262,surrounding,7
263,figure,7
264,distributions,7
265,panels,7
266,fan,7
267,variables,7
268,intervals,7
269,respectively,6
270,e,6
271,stability,6
272,research,6
273,statistics,6
274,potential,6
275,rise,6
276,money,6
277,well,6
278,within,6
279,discussed,6
280,approach,6
281,might,6
282,used,6
283,expansion,6
284,cited,6
285,continue,6
286,widened,6
287,implications,6
288,indicated,6
289,previous,6
290,anticipated,6
291,additional,6
292,primary,6
293,vote,6
294,percentage,6
295,job,6
296,measure,6
297,third,6
298,rose,6
299,trend,6
300,government,6
301,points,6
302,shifted,6
303,moderated,6
304,expect,6
305,medium,6
306,submitted,6
307,assess,6
308,participant,6
309,h,5
310,john,5
311,c,5
312,vice,5
313,michael,5
314,general,5
315,economist,5
316,directors,5
317,principal,5
318,provided,5
319,related,5
320,excess,5
321,effr,5
322,somewhat,5
323,volatile,5
324,using,5
325,soma,5
326,mortgagebacked,5
327,volatility,5
328,shortterm,5
329,adjustments,5
330,ending,5
331,high,5
332,either,5
333,decisions,5
334,roughly,5
335,gross,5
336,regard,5
337,maturities,5
338,greater,5
339,sales,5
340,reportedly,5
341,moved,5
342,desk,5
343,surveys,5
344,summary,5
345,next,5
346,repo,5
347,strengthen,5
348,measured,5
349,12month,5
350,index,5
351,force,5
352,participation,5
353,workers,5
354,22,5
355,earnings,5
356,edged,5
357,elevated,5
358,earlier,5
359,mortgage,5
360,goods,5
361,sector,5
362,exports,5
363,negative,5
364,financing,5
365,tightened,5
366,tensions,5
367,received,5
368,firms,5
369,accommodative,5
370,reports,5
371,saw,5
372,rapid,5
373,variable,5
374,action,5
375,costs,5
376,raise,5
377,maximum,5
378,medians,5
379,error,5
380,ranges,5
381,minutes,4
382,18,4
383,19,4
384,attended,4
385,present,4
386,chairman,4
387,thomas,4
388,philadelphia,4
389,adviser,4
390,international,4
391,3,4
392,frameworks,4
393,issues,4
394,transition,4
395,regime,4
396,composition,4
397,judges,4
398,take,4
399,tools,4
400,desks,4
401,review,4
402,nonreserve,4
403,discussing,4
404,reducing,4
405,necessary,4
406,control,4
407,addition,4
408,possible,4
409,public,4
410,toward,4
411,importantly,4
412,state,4
413,negotiations,4
414,china,4
415,situation,4
416,companies,4
417,especially,4
418,contributing,4
419,yield,4
420,surveybased,4
421,three,4
422,billion,4
423,modest,4
424,expenditures,4
425,stayed,4
426,production,4
427,solid,4
428,homes,4
429,underlying,4
430,private,4
431,purchases,4
432,changes,4
433,food,4
434,among,4
435,weakness,4
436,slowdown,4
437,muted,4
438,notably,4
439,probability,4
440,though,4
441,bond,4
442,dollar,4
443,slow,4
444,tight,4
445,touch,4
446,seen,4
447,participants,4
448,grow,4
449,fixed,4
450,districts,4
451,fiscal,4
452,weigh,4
453,sustained,4
454,25,4
455,extent,4
456,forward,4
457,top,4
458,regarding,4
459,30,4
460,approval,4
461,horizon,4
462,judgments,4
463,70,4
464,chart,4
465,considerable,4
466,1819,3
467,pm,3
468,michelle,3
469,k,3
470,james,3
471,l,3
472,dallas,3
473,minneapolis,3
474,b,3
475,edge,3
476,special,3
477,christopher,3
478,5,3
479,project,3
480,small,3
481,chicago,3
482,operating,3
483,gradually,3
484,efficient,3
485,balances,3
486,emerge,3
487,reviewed,3
488,discount,3
489,support,3
490,redemptions,3
491,ceiling,3
492,described,3
493,maturity,3
494,normalized,3
495,put,3
496,flat,3
497,sizable,3
498,maintain,3
499,maintaining,3
500,existing,3
501,currently,3
502,relatively,3
503,concern,3
504,significantly,3
505,product,3
506,benefits,3
507,important,3
508,others,3
509,neutral,3
510,meetings,3
511,made,3
512,investors,3
513,deterioration,3
514,united,3
515,states,3
516,brexit,3
517,uncertainties,3
518,nearly,3
519,bonds,3
520,particularly,3
521,flattening,3
522,drop,3
523,revision,3
524,response,3
525,firming,3
526,firmings,3
527,results,3
528,stable,3
529,overnight,3
530,repurchase,3
531,bills,3
532,expanded,3
533,light,3
534,occur,3
535,transactions,3
536,personal,3
537,national,3
538,reasons,3
539,early,3
540,historically,3
541,12,3
542,output,3
543,mining,3
544,moderate,3
545,ongoing,3
546,home,3
547,upbeat,3
548,residential,3
549,construction,3
550,natural,3
551,steady,3
552,decreases,3
553,agricultural,3
554,imports,3
555,available,3
556,economies,3
557,emes,3
558,afes,3
559,reflected,3
560,fell,3
561,10,3
562,derived,3
563,italian,3
564,value,3
565,funding,3
566,reverse,3
567,typical,3
568,nonfinancial,3
569,loan,3
570,cases,3
571,cre,3
572,prepared,3
573,staffs,3
574,bottom,3
575,move,3
576,expand,3
577,views,3
578,conjunction,3
579,represented,3
580,absence,3
581,shocks,3
582,met,3
583,strongly,3
584,items,3
585,assessing,3
586,line,3
587,reflect,3
588,variety,3
589,waning,3
590,stimulus,3
591,affect,3
592,rather,3
593,actions,3
594,payments,3
595,observed,3
596,monitor,3
597,mentioned,3
598,see,3
599,estimates,3
600,timing,3
601,accommodation,3
602,setting,3
603,guidance,3
604,foster,3
605,decided,3
606,2¼,3
607,2½,3
608,realized,3
609,wide,3
610,nearterm,3
611,evolution,3
612,informed,3
613,amount,3
614,voted,3
615,released,3
616,directs,3
617,encompassed,3
618,unanimously,3
619,300,3
620,establishment,3
621,note,3
622,second,3
623,throughout,3
624,compared,3
625,marked,3
626,unchanged,3
627,normal,3
628,shows,3
629,provides,3
630,4b,3
631,charts,3
632,attending,3
633,±10,3
634,actual,3
635,zero,3
